imDbRating,rank,rankUpDown,fullTitle,year,imDbRatingCount,rank,rankUpDown,fullTitle,year,imDbRatingCount
6.8,26,-12,A Haunting in Venice (2023),2023,32223,1,0,Reptile (2023),2023,46819
5.8,27,+364,Pain Hustlers (2023),2023,339,27,+364,Pain Hustlers (2023),2023,339
6.6,28,+4,X (2022),2022,148587,28,+4,X (2022),2022,148587
7.4,29,-21,The Wonderful Story of Henry Sugar (2023),2023,34598,29,-21,The Wonderful Story of Henry Sugar (2023),2023,34598
6.9,30,+27,Hocus Pocus (1993),1993,150213,12,-2,The Equalizer 3 (2023),2023,51388
6.1,32,+62,Casper (1995),1995,142880,32,+62,Casper (1995),1995,142880
8.5,33,+293,Taylor Swift: The Eras Tour (2023),2023,7301,18,+1,Oppenheimer (2023),2023,464095
7,34,-8,Elemental (2023),2023,86525,34,-8,Elemental (2023),2023,86525
6.1,36,+11,Khufiya (2023),2023,3738,32,+62,Casper (1995),1995,142880
7.8,38,+520,OMG 2 (2023),2023,30191,38,+520,OMG 2 (2023),2023,30191
7.2,39,-14,Gran Turismo (2023),2023,47144,57,-16,The Little Mermaid (2023),2023,139087
7.8,41,+136,Get Out (2017),2017,663227,38,+520,OMG 2 (2023),2023,30191
7.6,42,-9,Saw (2004),2004,451555,42,-9,Saw (2004),2004,451555
5.8,43,+118,Desperation Road (2023),2023,1183,27,+364,Pain Hustlers (2023),2023,339
5.1,44,-22,Meg 2: The Trench (2023),2023,58244,4,+1,The Exorcist: Believer (2023),2023,14075
7.1,45,-10,Dumb Money (2023),2023,7919,45,-10,Dumb Money (2023),2023,7919
8.5,46,0,Poor Things (2023),2023,2112,18,+1,Oppenheimer (2023),2023,464095
7.8,47,+1,John Wick: Chapter 4 (2023),2023,288075,38,+520,OMG 2 (2023),2023,30191
6.4,48,-4,No Hard Feelings (2023),2023,84469,9,-5,Nowhere (2023),2023,20186
7.1,52,+585,American Made (2017),2017,200122,45,-10,Dumb Money (2023),2023,7919
6.1,53,-17,Blue Beetle (2023),2023,55162,32,+62,Casper (1995),1995,142880
7.2,57,-16,The Little Mermaid (2023),2023,139087,57,-16,The Little Mermaid (2023),2023,139087
6.7,58,+50,Trick 'r Treat (2007),2007,100479,58,+50,Trick 'r Treat (2007),2007,100479
5.3,60,+229,It Lives Inside (2023),2023,2968,60,+229,It Lives Inside (2023),2023,2968
5.3,64,+7491,The Mill (2023),2023,1075,60,+229,It Lives Inside (2023),2023,2968
7.3,65,-25,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,45445,65,-25,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,45445
7.6,66,-24,Forgotten Love (2023),2023,4477,42,-9,Saw (2004),2004,451555
7.4,67,+17,Scream (1996),1996,375215,29,-21,The Wonderful Story of Henry Sugar (2023),2023,34598
6.6,68,-31,The Blind (2023),2023,996,28,+4,X (2022),2022,148587
7.2,69,+54,The Lost Boys (1987),1987,155324,57,-16,The Little Mermaid (2023),2023,139087
6.8,71,+483,Us (2019),2019,326909,1,0,Reptile (2023),2023,46819
7.4,73,+224,When Evil Lurks (2023),2023,732,29,-21,The Wonderful Story of Henry Sugar (2023),2023,34598
7,75,+62,Pearl (2022),2022,75096,34,-8,Elemental (2023),2023,86525
7.2,76,+3,The Equalizer (2014),2014,402260,57,-16,The Little Mermaid (2023),2023,139087
5.3,78,-15,The Nun (2018),2018,161923,60,+229,It Lives Inside (2023),2023,2968
5.8,81,+6379,The Conference (2023),2023,5007,27,+364,Pain Hustlers (2023),2023,339
7,84,-30,Bottoms (2023),2023,15726,34,-8,Elemental (2023),2023,86525
7.3,85,-21,Dungeons & Dragons: Honor Among Thieves (2023),2023,193557,65,-25,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,45445
6.9,88,-43,Love at First Sight (2023),2023,21075,12,-2,The Equalizer 3 (2023),2023,51388
6.6,89,-28,Asteroid City (2023),2023,80965,28,+4,X (2022),2022,148587
5.1,90,+40,The Haunted Mansion (2003),2003,55009,4,+1,The Exorcist: Believer (2023),2023,14075
6.7,91,-22,Indiana Jones and the Dial of Destiny (2023),2023,135201,58,+50,Trick 'r Treat (2007),2007,100479
6.7,92,-77,Priscilla (2023),2023,910,58,+50,Trick 'r Treat (2007),2007,100479
7.6,93,-37,Harry Potter and the Sorcerer's Stone (2001),2001,828921,42,-9,Saw (2004),2004,451555
7.1,94,-64,Flora and Son (2023),2023,6298,45,-10,Dumb Money (2023),2023,7919
7.3,99,-46,A Million Miles Away (2023),2023,14129,65,-25,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,45445
6.6,3,+20,Totally Killer (2023),2023,22810,3,+20,Totally Killer (2023),2023,22810
7.1,5,-3,The Creator (2023),2023,42539,19,+262,The Burial (2023),2023,8710
7,7,-4,Saw X (2023),2023,25204,14,-2,Barbie (2023),2023,361824
6.1,8,+1,Haunted Mansion (2023),2023,27205,8,+1,Haunted Mansion (2023),2023,27205
7.8,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100,20,-2,Sound of Freedom (2023),2023,74535
7,14,-2,Barbie (2023),2023,361824,14,-2,Barbie (2023),2023,361824
7.2,16,+1,Talk to Me (2022),2022,82567,39,-14,Gran Turismo (2023),2023,47144
7.1,19,+262,The Burial (2023),2023,8710,19,+262,The Burial (2023),2023,8710
7.8,20,-2,Sound of Freedom (2023),2023,74535,20,-2,Sound of Freedom (2023),2023,74535
6.6,28,+4,X (2022),2022,148587,3,+20,Totally Killer (2023),2023,22810
6.1,32,+62,Casper (1995),1995,142880,8,+1,Haunted Mansion (2023),2023,27205
7,34,-8,Elemental (2023),2023,86525,14,-2,Barbie (2023),2023,361824
6.1,36,+11,Khufiya (2023),2023,3738,8,+1,Haunted Mansion (2023),2023,27205
7.8,38,+520,OMG 2 (2023),2023,30191,20,-2,Sound of Freedom (2023),2023,74535
7.2,39,-14,Gran Turismo (2023),2023,47144,39,-14,Gran Turismo (2023),2023,47144
7.8,41,+136,Get Out (2017),2017,663227,20,-2,Sound of Freedom (2023),2023,74535
7.1,45,-10,Dumb Money (2023),2023,7919,19,+262,The Burial (2023),2023,8710
7.8,47,+1,John Wick: Chapter 4 (2023),2023,288075,20,-2,Sound of Freedom (2023),2023,74535
7.1,52,+585,American Made (2017),2017,200122,19,+262,The Burial (2023),2023,8710
6.1,53,-17,Blue Beetle (2023),2023,55162,8,+1,Haunted Mansion (2023),2023,27205
7.2,57,-16,The Little Mermaid (2023),2023,139087,39,-14,Gran Turismo (2023),2023,47144
6.6,68,-31,The Blind (2023),2023,996,3,+20,Totally Killer (2023),2023,22810
7.2,69,+54,The Lost Boys (1987),1987,155324,39,-14,Gran Turismo (2023),2023,47144
7,75,+62,Pearl (2022),2022,75096,14,-2,Barbie (2023),2023,361824
7.2,76,+3,The Equalizer (2014),2014,402260,39,-14,Gran Turismo (2023),2023,47144
7,84,-30,Bottoms (2023),2023,15726,14,-2,Barbie (2023),2023,361824
6.6,89,-28,Asteroid City (2023),2023,80965,3,+20,Totally Killer (2023),2023,22810
7.1,94,-64,Flora and Son (2023),2023,6298,19,+262,The Burial (2023),2023,8710
7.1,5,-3,The Creator (2023),2023,42539,5,-3,The Creator (2023),2023,42539
7,7,-4,Saw X (2023),2023,25204,7,-4,Saw X (2023),2023,25204
7.8,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100
7,14,-2,Barbie (2023),2023,361824,7,-4,Saw X (2023),2023,25204
7.2,16,+1,Talk to Me (2022),2022,82567,16,+1,Talk to Me (2022),2022,82567
7.1,19,+262,The Burial (2023),2023,8710,5,-3,The Creator (2023),2023,42539
7.8,20,-2,Sound of Freedom (2023),2023,74535,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100
7,34,-8,Elemental (2023),2023,86525,7,-4,Saw X (2023),2023,25204
7.8,38,+520,OMG 2 (2023),2023,30191,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100
7.2,39,-14,Gran Turismo (2023),2023,47144,16,+1,Talk to Me (2022),2022,82567
7.8,41,+136,Get Out (2017),2017,663227,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100
7.1,45,-10,Dumb Money (2023),2023,7919,5,-3,The Creator (2023),2023,42539
7.8,47,+1,John Wick: Chapter 4 (2023),2023,288075,11,+13,Mission: Impossible - Dead Reckoning Part One (2023),2023,165100
7.1,52,+585,American Made (2017),2017,200122,5,-3,The Creator (2023),2023,42539
7.2,57,-16,The Little Mermaid (2023),2023,139087,16,+1,Talk to Me (2022),2022,82567
7.2,69,+54,The Lost Boys (1987),1987,155324,16,+1,Talk to Me (2022),2022,82567
7,75,+62,Pearl (2022),2022,75096,7,-4,Saw X (2023),2023,25204
7.2,76,+3,The Equalizer (2014),2014,402260,16,+1,Talk to Me (2022),2022,82567
7,84,-30,Bottoms (2023),2023,15726,7,-4,Saw X (2023),2023,25204
7.1,94,-64,Flora and Son (2023),2023,6298,5,-3,The Creator (2023),2023,42539
